model,term,coef,std_err,p_value,ci_low,ci_high,n,r2,adj_r2
(1) Unadjusted,Intercept,84.1065705128203,0.2703024740633785,0.0,83.5765755483885,84.63656547725209,3030,0.0011417385507591638,0.0008118646202937008
(1) Unadjusted,PI_Compliant,0.5163418045071703,0.27754151405630784,0.06292401437380332,-0.027847091211670283,1.060530700226011,3030,0.0011417385507591638,0.0008118646202937008
(2) + State FE,Intercept,85.71993618865442,0.9866206616468994,0.0,83.78540844187953,87.6544639354293,3030,0.2168113215897456,0.20286340493795008
(2) + State FE,C(State)[T.AL],-1.2994157140749836,1.0416459496964636,0.21232560469400405,-3.3418349237435043,0.7430034955935374,3030,0.2168113215897456,0.20286340493795008
(2) + State FE,C(State)[T.AR],-0.5607820679229937,1.0813497276661987,0.6040820713971506,-2.681050914356704,1.559486778510717,3030,0.2168113215897456,0.20286340493795008
(2) + State FE,C(State)[T.AZ],-2.8807884760990343,1.0300570065819885,0.005195472820595382,-4.900484533007582,-0.8610924191904865,3030,0.2168113215897456,0.20286340493795008
(2) + State FE,C(State)[T.CA],-3.4327179681314695,0.9712204108733041,0.00041486837913344446,-5.3370494970620275,-1.5283864392009112,3030,0.2168113215897456,0.20286340493795008
(2) + State FE,C(State)[T.CO],-0.41053921568623253,1.0428813207839411,0.6938613011480514,-2.4553806933440527,1.634302261971588,3030,0.2168113215897456,0.20286340493795008
(2) + State FE,C(State)[T.CT],-2.795094895092004,1.1284675061566247,0.013308277011614833,-5.007750464609306,-0.5824393255747013,3030,0.2168113215897456,0.20286340493795008
(2) + State FE,C(State)[T.DC],-5.212499999999523,1.6516411199400434,0.0016157339083438217,-8.450974216528632,-1.974025783470415,3030,0.2168113215897456,0.20286340493795008
(2) + State FE,C(State)[T.DE],-3.291666666665378,1.5571821813282394,0.03461012626927343,-6.3449294389394915,-0.23840389439126497,3030,0.2168113215897456,0.20286340493795008
(2) + State FE,C(State)[T.FL],-3.678533722555542,0.9832338484407133,0.00018655600266037146,-5.606420736599809,-1.7506467085112751,3030,0.2168113215897456,0.20286340493795008
(2) + State FE,C(State)[T.GA],-1.8491171427946347,1.0063353738148304,0.06623929141634305,-3.822300736939358,0.1240664513500882,3030,0.2168113215897456,0.20286340493795008
(2) + State FE,C(State)[T.HI],-1.1902030157208603,1.2913196642474072,0.3567623453122134,-3.722172816832413,1.341766785390692,3030,0.2168113215897456,0.20286340493795008
(2) + State FE,C(State)[T.IA],0.11979166666686532,1.0482103351483145,0.9090218896322654,-1.9354987368563774,2.175082070190108,3030,0.2168113215897456,0.20286340493795008
(2) + State FE,C(State)[T.ID],0.8364859742742868,1.150573467423305,0.4672729893360378,-1.4195141116330738,3.0924860601816473,3030,0.2168113215897456,0.20286340493795008
(2) + State FE,C(State)[T.IL],-1.8420222789840541,0.9939530137996725,0.06394849616114713,-3.7909270191061033,0.10688246113799504,3030,0.2168113215897456,0.20286340493795008
(2) + State FE,C(State)[T.IN],-0.5605041123463801,1.0067096367263684,0.5777275427684616,-2.5344215467755244,1.4134133220827643,3030,0.2168113215897456,0.20286340493795008
(2) + State FE,C(State)[T.KS],0.923607657362294,1.0450313871435841,0.3768709708386607,-1.1254495875015298,2.972664902226118,3030,0.2168113215897456,0.20286340493795008
(2) + State FE,C(State)[T.KY],-0.5844298245610342,1.0338440505544877,0.5719137998071793,-2.611551371252887,1.4426917221308186,3030,0.2168113215897456,0.20286340493795008
(2) + State FE,C(State)[T.LA],0.8722913802380048,1.0313057634109342,0.3977253107025436,-1.1498531909055254,2.894435951381535,3030,0.2168113215897456,0.20286340493795008
(2) + State FE,C(State)[T.MA],-2.217547768404381,1.0428931388533447,0.03355685271188808,-4.262412418476954,-0.17268311833180894,3030,0.2168113215897456,0.20286340493795008
(2) + State FE,C(State)[T.MD],-3.317246809432508,1.0662049275896777,0.001880529583393755,-5.407820315897883,-1.2266733029671326,3030,0.2168113215897456,0.20286340493795008
(2) + State FE,C(State)[T.ME],-0.05478634905366886,1.1351779249232639,0.9615104021021923,-2.2805994489179167,2.1710267508105794,3030,0.2168113215897456,0.20286340493795008
(2) + State FE,C(State)[T.MI],-1.9186893412250117,1.0034534383141558,0.0559610753672488,-3.886222147374717,0.0488434649246936,3030,0.2168113215897456,0.20286340493795008
(2) + State FE,C(State)[T.MN],1.0142288795789642,1.0212940246965412,0.32075065168733075,-0.9882850603712925,3.016742819529221,3030,0.2168113215897456,0.20286340493795008
(2) + State FE,C(State)[T.MO],-1.031723554609428,1.0185422375908277,0.31117051911100463,-3.0288418965186565,0.9653947872998005,3030,0.2168113215897456,0.20286340493795008
(2) + State FE,C(State)[T.MS],-1.404392005716534,1.0885367775602424,0.19709362675920347,-3.5387529424317057,0.7299689309986377,3030,0.2168113215897456,0.20286340493795008
(2) + State FE,C(State)[T.MT],0.33333333333360293,1.1893175361289106,0.7792877120362451,-1.998634628422653,2.665301295089859,3030,0.2168113215897456,0.20286340493795008
(2) + State FE,C(State)[T.NC],-1.0301470588231134,1.0081087845173942,0.30692974721177324,-3.0068078882862315,0.9465137706400049,3030,0.2168113215897456,0.20286340493795008
(2) + State FE,C(State)[T.ND],-2.4827706876281304,1.3857986170915013,0.07330165309187428,-5.1999911761295525,0.23444980087329226,3030,0.2168113215897456,0.20286340493795008
(2) + State FE,C(State)[T.NE],1.2708333333340014,1.0885097343251353,0.2431026996430302,-0.8634745780486277,3.4051412447166305,3030,0.2168113215897456,0.20286340493795008
